XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount
3.6,484.0972040,484.0972040,133.0,763.0,0.0,4.0,6.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7,453.15830879,453.15830879,143.0,730.0,0.0,2.0,9.0,5.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.8,318.11167570,318.11167570,87.1,416.0,0.0,1.0,6.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.4,370.13174244,370.13174244,58.6,609.0,0.0,1.0,4.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.7,414.14045086,414.14045086,68.0,590.0,0.0,1.0,7.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.8,365.16404563,365.16404563,53.1,627.0,0.0,2.0,5.0,4.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1.9,275.105862047,275.105862047,46.9,461.0,0.0,1.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
3.8,529.24130771,529.24130771,94.7,730.0,0.0,3.0,10.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.6,511.1541805,511.1541805,70.6,719.0,0.0,1.0,6.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.4,311.11575802,311.11575802,72.5,515.0,0.0,1.0,4.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.1,384.16199719,384.16199719,115.0,603.0,0.0,3.0,5.0,5.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2.5,364.09939694,364.09939694,115.0,588.0,0.0,3.0,5.0,4.0,26.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
3.3,390.11504700,390.11504700,104.0,681.0,0.0,2.0,5.0,3.0,28.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0
3.5,410.16666561,410.16666561,83.0,564.0,0.0,2.0,8.0,5.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.2,466.20049070,466.20049070,69.5,901.0,0.0,2.0,4.0,2.0,35.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
2.9,295.08916661,295.08916661,109.0,449.0,0.0,1.0,5.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,349.10266837,349.10266837,57.8,489.0,0.0,2.0,4.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.4,221.095297364,221.095297364,41.6,232.0,0.0,1.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.5,224.094963011,224.094963011,41.1,305.0,0.0,2.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
